date,price,sma,multiple,percentile,volAdjPercentile
2020-02-23,9823.23,8119.619570966516,1.2098140015782954,44.23571796191457,42.79464745239321
2020-02-24,9794.30,8135.728063356167,1.203862481821622,43.51518270715389,42.151312403499745
2020-02-25,9543.67,8151.435328576868,1.1707964819518182,40.710241893978385,40.118373648996396
2020-02-26,9148.42,8167.223859208526,1.1201381759355462,37.39063304168811,37.23623262995368
2020-02-27,8789.96,8181.859740677324,1.074322622543664,33.40195573854864,33.710756562017494
2020-02-28,8729.28,8195.526613774737,1.0651268887611247,32.93875450334534,32.93875450334534
2020-02-29,8692.26,8209.021330669713,1.0588667058915844,32.501286670097784,32.321152856407615
2020-03-01,8582.45,8222.402803462712,1.043788367940748,31.471950591868247,31.5748841996912
2020-03-02,8665.35,8235.480619672757,1.0521970487160355,32.01235203293876,32.08955223880597
2020-03-03,8826.46,8248.79619387367,1.0700300569513967,33.19608852290273,33.47915594441585
2020-03-04,8759.43,8262.72324752664,1.0601147670264286,32.578486875965,32.604220277920746
2020-03-05,8941.27,8276.482411529683,1.080322353597654,33.710756562017494,34.7143592382913
2020-03-06,9094.62,8290.466718987826,1.0969977244068063,35.254760679361816,36.10396294390119
2020-03-07,9099.59,8304.814738964995,1.0957007748469658,35.10036026762738,36.026762738033966
2020-03-08,8686.83,8319.137581621007,1.0441985570144492,31.549150797735457,31.780751415337104
2020-03-09,7943.39,8332.299902397262,0.9533250651404002,27.586206896551722,27.380339680905813
2020-03-10,7930.20,8343.395442161342,0.9504766523915517,27.509006690684508,27.27740607308286
2020-03-11,7863.76,8354.512250951297,0.9412589019643086,27.380339680905813,26.968605249613997
2020-03-12,7043.83,8365.522069634706,0.8420076123469566,21.075656201749872,18.57951621204323
2020-03-13,5304.85,8374.256681316594,0.6334710409650589,12.454966546577458,5.455481214616572
2020-03-14,5461.04,8378.24360692542,0.6518123481602771,12.866700977869275,6.9994853319608845
2020-03-15,5277.59,8382.602013508373,0.629588172601851,12.197632527020073,5.120946989191971
2020-03-16,5064.83,8386.200290715375,0.6039486785142456,10.524961399897066,3.3453422542460114
2020-03-17,5231.69,8389.214328196349,0.6236212790345095,11.940298507462686,4.837879567678847
2020-03-18,5298.01,8392.672792237445,0.631266154290921,12.300566134843026,5.378281008749357
2020-03-19,5612.98,8396.30098668189,0.6685062294446246,13.484302624806999,9.006690684508492
